date,boston,chicago,cleveland,denver,houston,la,miami,nyc,sf,seattle
"Jun 05, 2000",,1.949,,1.489,1.485,1.54,,1.61,1.759,
"Jun 12, 2000",,2.091,,1.529,1.514,1.537,,1.65,1.766,
"Jun 19, 2000",,2.108,,1.603,1.546,1.533,,1.686,1.769,
"Jun 26, 2000",,1.989,,1.641,1.56,1.561,,1.705,1.785,
"Jul 03, 2000",,1.786,,1.634,1.552,1.602,,1.711,1.836,
"Jul 10, 2000",,1.688,,1.625,1.545,1.617,,1.708,1.861,
"Jul 17, 2000",,1.576,,1.611,1.536,1.605,,1.703,1.865,
"Jul 24, 2000",,1.45,,1.591,1.527,1.592,,1.69,1.866,
"Jul 31, 2000",,1.352,,1.563,1.524,1.567,,1.67,1.852,
"Aug 07, 2000",,1.357,,1.531,1.494,1.539,,1.656,1.843,
"Aug 14, 2000",,1.327,,1.499,1.463,1.536,,1.638,1.836,
"Aug 21, 2000",,1.368,,1.481,1.443,1.519,,1.633,1.856,
"Aug 28, 2000",,1.406,,1.477,1.451,1.569,,1.623,1.88,
"Sep 04, 2000",,1.545,,1.47,1.45,1.653,,1.625,1.928,
"Sep 11, 2000",,1.533,,1.568,1.455,1.695,,1.634,1.972,
"Sep 18, 2000",,1.506,,1.572,1.453,1.693,,1.63,1.966,
"Sep 25, 2000",,1.496,,1.561,1.43,1.685,,1.626,1.963,
"Oct 02, 2000",,1.471,,1.538,1.436,1.722,,1.616,1.952,
"Oct 09, 2000",,1.443,,1.519,1.409,1.714,,1.605,1.956,
"Oct 16, 2000",,1.556,,1.506,1.417,1.696,,1.609,1.951,
"Oct 23, 2000",,1.515,,1.528,1.419,1.681,,1.611,1.945,
"Oct 30, 2000",,1.573,,1.553,1.409,1.686,,1.613,1.942,
"Nov 06, 2000",,1.546,,1.548,1.399,1.677,,1.613,1.938,
"Nov 13, 2000",,1.511,,1.541,1.402,1.661,,1.603,1.929,
"Nov 20, 2000",,1.543,,1.533,1.392,1.627,,1.603,1.911,
"Nov 27, 2000",,1.511,,1.528,1.395,1.619,,1.599,1.902,
"Dec 04, 2000",,1.484,,1.514,1.383,1.618,,1.592,1.884,
"Dec 11, 2000",,1.452,,1.507,1.366,1.578,,1.579,1.86,
"Dec 18, 2000",,1.421,,1.492,1.335,1.561,,1.558,1.837,
"Dec 25, 2000",,1.415,,1.474,1.319,1.57,,1.545,1.805,
"Jan 01, 2001",,1.487,,1.442,1.352,1.542,,1.537,1.791,
"Jan 08, 2001",,1.477,,1.418,1.342,1.543,,1.524,1.774,
"Jan 15, 2001",,1.569,,1.422,1.383,1.517,,1.516,1.743,
"Jan 22, 2001",,1.546,,1.428,1.403,1.488,,1.51,1.734,
"Jan 29, 2001",,1.541,,1.438,1.383,1.457,,1.509,1.723,
"Feb 05, 2001",,1.501,,1.468,1.364,1.51,,1.505,1.718,
"Feb 12, 2001",,1.525,,1.466,1.381,1.563,,1.507,1.748,
"Feb 19, 2001",,1.477,,1.455,1.379,1.587,,1.508,1.763,
"Feb 26, 2001",,1.426,,1.444,1.362,1.588,,1.499,1.767,
"Mar 05, 2001",,1.411,,1.424,1.324,1.619,,1.492,1.796,
"Mar 12, 2001",,1.374,,1.413,1.32,1.622,,1.481,1.803,
"Mar 19, 2001",,1.408,,1.412,1.326,1.608,,1.471,1.813,
"Mar 26, 2001",,1.357,,1.412,1.353,1.596,,1.457,1.81,
"Apr 02, 2001",,1.52,,1.505,1.398,1.637,,1.466,1.844,
"Apr 09, 2001",,1.644,,1.508,1.449,1.671,,1.492,1.901,
"Apr 16, 2001",,1.62,,1.509,1.552,1.693,,1.552,1.954,
"Apr 23, 2001",,1.853,,1.635,1.572,1.736,,1.615,1.96,
"Apr 30, 2001",,1.832,,1.627,1.591,1.778,,1.668,2,
"May 07, 2001",,1.973,,1.73,1.613,1.927,,1.723,2.018,
"May 14, 2001",,2.049,,1.739,1.629,1.975,,1.759,1.976,
"May 21, 2001",,1.978,,1.727,1.598,1.977,,1.761,2.023,
"May 28, 2001",,1.93,,1.729,1.588,1.969,,1.797,2.041,
"Jun 04, 2001",,1.893,,1.761,1.56,1.938,,1.797,2.03,
"Jun 11, 2001",,1.802,,1.741,1.529,1.952,,1.783,2.031,
"Jun 18, 2001",,1.699,,1.721,1.51,1.938,,1.762,2.01,
