date,supply_petroleum,supply_motorgas
9-Nov-90,16588,
16-Nov-90,17019,
23-Nov-90,15686,
30-Nov-90,17753,
7-Dec-90,16901,
14-Dec-90,16669,
21-Dec-90,17953,
28-Dec-90,17319,
4-Jan-91,15968,
11-Jan-91,17171,
18-Jan-91,16699,
25-Jan-91,16246,
1-Feb-91,16801,
8-Feb-91,16067,6621
15-Feb-91,15627,6433
22-Feb-91,15414,6582
1-Mar-91,16997,7224
8-Mar-91,16982,6875
15-Mar-91,16914,6947
22-Mar-91,16408,7328
29-Mar-91,17481,6777
5-Apr-91,16344,7503
12-Apr-91,15888,6916
19-Apr-91,15799,7045
26-Apr-91,16054,6956
3-May-91,,6976
10-May-91,15995,7185
17-May-91,16306,6899
24-May-91,15273,7396
31-May-91,16357,7287
7-Jun-91,16226,7220
14-Jun-91,16519,7651
21-Jun-91,17076,7720
28-Jun-91,17242,7543
5-Jul-91,17363,7961
12-Jul-91,15446,7327
19-Jul-91,16948,7380
26-Jul-91,16092,7501
2-Aug-91,16672,7605
9-Aug-91,16902,7584
16-Aug-91,17000,7401
23-Aug-91,16346,7505
30-Aug-91,16731,7427
6-Sep-91,16855,6993
13-Sep-91,16360,7402
20-Sep-91,17053,7391
27-Sep-91,16984,7088
4-Oct-91,17537,6949
11-Oct-91,17042,7506
18-Oct-91,17570,7396
25-Oct-91,17092,7421
1-Nov-91,16254,7159
8-Nov-91,17193,7379
15-Nov-91,17035,7369
22-Nov-91,15978,6652
29-Nov-91,15683,6769
6-Dec-91,16258,6828
13-Dec-91,16536,7344
20-Dec-91,18161,7447
27-Dec-91,17129,7186
3-Jan-92,16707,6642
10-Jan-92,16923,6788
17-Jan-92,16600,6783
24-Jan-92,17852,7037
31-Jan-92,17319,7112
7-Feb-92,17190,7039
14-Feb-92,16630,6576
21-Feb-92,16389,7002
28-Feb-92,15099,6770
6-Mar-92,16763,7002
13-Mar-92,16004,6806
20-Mar-92,16415,7221
27-Mar-92,17621,7379
3-Apr-92,16782,7027
10-Apr-92,17783,7744
17-Apr-92,16008,6464
24-Apr-92,17152,7376
1-May-92,17639,7899
8-May-92,16020,7318
15-May-92,16476,7174
22-May-92,16030,7086
29-May-92,15455,7774
5-Jun-92,17005,7104
12-Jun-92,15377,7129
19-Jun-92,17251,7407
26-Jun-92,14912,7701
3-Jul-92,17100,7572
10-Jul-92,17503,7813
17-Jul-92,17614,7422
24-Jul-92,16546,7792
31-Jul-92,17100,7433
7-Aug-92,17319,7796
14-Aug-92,17517,7700
21-Aug-92,17100,7365
28-Aug-92,17636,7814
4-Sep-92,16829,7326
11-Sep-92,16525,7473
18-Sep-92,16432,7181
25-Sep-92,16251,7286
2-Oct-92,17830,7293
9-Oct-92,17231,7514
16-Oct-92,17201,7204
23-Oct-92,15859,7276
30-Oct-92,17781,7509
6-Nov-92,16319,6923
13-Nov-92,16581,7056
20-Nov-92,17392,7240
