date,ca,co,fl,ma,mn,ny,oh,tx,wa,
"May 22, 2000",1.634,,,,,,,,,
"May 29, 2000",1.626,,,,,,,,,
"Jun 05, 2000",1.613,1.517,,,1.582,1.607,,1.474,,
"Jun 12, 2000",1.614,1.557,,,1.772,1.648,,1.476,,
"Jun 19, 2000",1.618,1.633,,,1.833,1.691,,1.518,,
"Jun 26, 2000",1.641,1.668,,,1.749,1.711,,1.526,,
"Jul 03, 2000",1.71,1.656,,,1.617,1.73,,1.532,,
"Jul 10, 2000",1.729,1.645,,,1.533,1.724,,1.533,,
"Jul 17, 2000",1.72,1.626,,,1.415,1.721,,1.515,,
"Jul 24, 2000",1.712,1.603,,,1.357,1.706,,1.491,,
"Jul 31, 2000",1.681,1.581,,,1.358,1.675,,1.462,,
"Aug 07, 2000",1.666,1.554,,,1.428,1.657,,1.422,,
"Aug 14, 2000",1.668,1.525,,,1.398,1.638,,1.41,,
"Aug 21, 2000",1.667,1.52,,,1.482,1.628,,1.416,,
"Aug 28, 2000",1.702,1.515,,,1.555,1.622,,1.418,,
"Sep 04, 2000",1.79,1.511,,,1.613,1.611,,1.425,,
"Sep 11, 2000",1.849,1.582,,,1.589,1.632,,1.456,,
"Sep 18, 2000",1.832,1.595,,,1.608,1.631,,1.457,,
"Sep 25, 2000",1.832,1.586,,,1.56,1.633,,1.456,,
"Oct 02, 2000",1.832,1.568,,,1.498,1.625,,1.435,,
"Oct 09, 2000",1.826,1.556,,,1.474,1.613,,1.404,,
"Oct 16, 2000",1.809,1.553,,,1.521,1.622,,1.424,,
"Oct 23, 2000",1.797,1.576,,,1.584,1.623,,1.427,,
"Oct 30, 2000",1.796,1.593,,,1.538,1.628,,1.431,,
"Nov 06, 2000",1.791,1.578,,,1.478,1.63,,1.418,,
"Nov 13, 2000",1.777,1.555,,,1.511,1.625,,1.414,,
"Nov 20, 2000",1.752,1.55,,,1.467,1.619,,1.402,,
"Nov 27, 2000",1.744,1.541,,,1.505,1.616,,1.407,,
"Dec 04, 2000",1.721,1.534,,,1.46,1.605,,1.39,,
"Dec 11, 2000",1.688,1.499,,,1.412,1.596,,1.36,,
"Dec 18, 2000",1.658,1.466,,,1.446,1.58,,1.333,,
"Dec 25, 2000",1.647,1.437,,,1.417,1.569,,1.314,,
"Jan 01, 2001",1.629,1.424,,,1.449,1.56,,1.307,,
"Jan 08, 2001",1.627,1.413,,,1.495,1.549,,1.321,,
"Jan 15, 2001",1.6,1.431,,,1.595,1.542,,1.38,,
"Jan 22, 2001",1.582,1.45,,,1.563,1.535,,1.408,,
"Jan 29, 2001",1.566,1.457,,,1.593,1.532,,1.399,,
"Feb 05, 2001",1.59,1.475,,,1.56,1.527,,1.38,,
"Feb 12, 2001",1.637,1.473,,,1.615,1.534,,1.391,,
"Feb 19, 2001",1.66,1.468,,,1.543,1.529,,1.385,,
"Feb 26, 2001",1.662,1.459,,,1.473,1.525,,1.361,,
"Mar 05, 2001",1.694,1.44,,,1.395,1.509,,1.329,,
"Mar 12, 2001",1.7,1.427,,,1.42,1.502,,1.317,,
"Mar 19, 2001",1.695,1.42,,,1.372,1.489,,1.312,,
"Mar 26, 2001",1.683,1.43,,,1.43,1.483,,1.317,,
