date,stocks_crude,stocks_gasoline
20-Aug-82,338764,
27-Aug-82,336138,
24-Sep-82,335586,
1-Oct-82,334786,
8-Oct-82,335260,
15-Oct-82,326979,
22-Oct-82,334370,
29-Oct-82,333067,
5-Nov-82,331057,
12-Nov-82,323448,
19-Nov-82,331264,
26-Nov-82,325639,
3-Dec-82,332447,
10-Dec-82,337943,
17-Dec-82,338912,
24-Dec-82,335061,
31-Dec-82,330150,
7-Jan-83,326701,
14-Jan-83,339028,
21-Jan-83,334178,
28-Jan-83,339617,
4-Feb-83,332527,
11-Feb-83,338719,
18-Feb-83,342040,
25-Feb-83,349452,
4-Mar-83,339216,
11-Mar-83,341753,
18-Mar-83,335901,
25-Mar-83,337155,
1-Apr-83,331215,
8-Apr-83,335263,
15-Apr-83,340539,
29-Apr-83,342707,
13-May-83,342703,
20-May-83,345545,
3-Jun-83,334607,
10-Jun-83,333407,
17-Jun-83,332713,
24-Jun-83,331611,
1-Jul-83,333387,
8-Jul-83,326776,
15-Jul-83,324265,
22-Jul-83,323643,
29-Jul-83,326267,
5-Aug-83,322642,
12-Aug-83,314861,
19-Aug-83,320879,
26-Aug-83,325015,
2-Sep-83,328895,
9-Sep-83,326370,
16-Sep-83,328092,
23-Sep-83,328203,
30-Sep-83,329028,
7-Oct-83,331723,
14-Oct-83,334292,
21-Oct-83,331681,
28-Oct-83,324210,
4-Nov-83,335837,
11-Nov-83,339341,
18-Nov-83,334859,
25-Nov-83,330704,
2-Dec-83,326264,
9-Dec-83,332192,
16-Dec-83,330911,
23-Dec-83,326469,
30-Dec-83,327028,
6-Jan-84,328070,
13-Jan-84,331804,
20-Jan-84,327811,
27-Jan-84,324301,
3-Feb-84,320842,
10-Feb-84,320037,
17-Feb-84,322097,
24-Feb-84,317999,
2-Mar-84,317746,
9-Mar-84,313132,
16-Mar-84,312445,
23-Mar-84,309072,
30-Mar-84,310506,
6-Apr-84,320689,
13-Apr-84,324087,
20-Apr-84,323505,
27-Apr-84,319724,
4-May-84,326633,
11-May-84,332296,
18-May-84,340510,
25-May-84,332465,
1-Jun-84,339659,
8-Jun-84,342189,
15-Jun-84,338234,
22-Jun-84,331714,
29-Jun-84,335999,
6-Jul-84,330378,
13-Jul-84,333149,
20-Jul-84,339830,
27-Jul-84,331607,
3-Aug-84,332398,
10-Aug-84,333554,
17-Aug-84,323344,
24-Aug-84,326092,
31-Aug-84,321597,
7-Sep-84,318672,
14-Sep-84,318007,
21-Sep-84,306957,
28-Sep-84,308426,
5-Oct-84,311211,
12-Oct-84,318610,
19-Oct-84,315273,
26-Oct-84,320900,
2-Nov-84,314922,
9-Nov-84,325115,
16-Nov-84,334201,
23-Nov-84,332639,
30-Nov-84,325608,
7-Dec-84,322292,
14-Dec-84,331783,
21-Dec-84,320537,
28-Dec-84,322281,
4-Jan-85,319923,
11-Jan-85,324107,
18-Jan-85,326508,
25-Jan-85,317918,
1-Feb-85,309460,
8-Feb-85,305989,
15-Feb-85,298076,
22-Feb-85,295928,
1-Mar-85,298757,
8-Mar-85,303198,
15-Mar-85,307344,
22-Mar-85,310423,
29-Mar-85,313149,
5-Apr-85,302000,
12-Apr-85,304744,
19-Apr-85,309715,
26-Apr-85,322205,
3-May-85,330347,
10-May-85,327605,
17-May-85,328263,
24-May-85,333896,
31-May-85,333399,
7-Jun-85,330564,
14-Jun-85,331306,
21-Jun-85,330077,
28-Jun-85,323682,
5-Jul-85,320782,
12-Jul-85,314931,
19-Jul-85,313728,
26-Jul-85,307219,
2-Aug-85,302128,
9-Aug-85,307275,
16-Aug-85,304954,
23-Aug-85,294068,
30-Aug-85,299740,
6-Sep-85,294402,
13-Sep-85,294828,
20-Sep-85,289541,
27-Sep-85,291175,
4-Oct-85,294662,
11-Oct-85,302337,
18-Oct-85,294952,
25-Oct-85,298122,
1-Nov-85,290776,
8-Nov-85,290134,
15-Nov-85,288284,
22-Nov-85,291676,
29-Nov-85,294140,
6-Dec-85,300376,
13-Dec-85,296771,
20-Dec-85,300234,
27-Dec-85,298551,
3-Jan-86,305147,
10-Jan-86,299779,
17-Jan-86,297979,
24-Jan-86,305632,
31-Jan-86,302996,
7-Feb-86,311382,
14-Feb-86,306754,
21-Feb-86,300623,
28-Feb-86,310183,
7-Mar-86,313853,
14-Mar-86,312567,
21-Mar-86,314941,
28-Mar-86,323395,
4-Apr-86,316315,
11-Apr-86,319613,
18-Apr-86,317219,
25-Apr-86,311499,
2-May-86,317285,
9-May-86,311336,
16-May-86,303348,
23-May-86,308590,
30-May-86,305568,
6-Jun-86,310824,
13-Jun-86,299249,
20-Jun-86,302543,
27-Jun-86,303908,
4-Jul-86,299341,
11-Jul-86,298871,
18-Jul-86,307065,
25-Jul-86,310051,
1-Aug-86,320012,
8-Aug-86,312924,
15-Aug-86,310871,
22-Aug-86,308755,
29-Aug-86,310955,
5-Sep-86,306246,
12-Sep-86,310490,
19-Sep-86,307280,
26-Sep-86,313278,
3-Oct-86,315751,
10-Oct-86,313010,
17-Oct-86,320001,
24-Oct-86,318425,
31-Oct-86,327758,
7-Nov-86,315272,
14-Nov-86,319679,
21-Nov-86,318454,
28-Nov-86,321037,
5-Dec-86,317980,
12-Dec-86,321059,
19-Dec-86,317982,
26-Dec-86,306597,
2-Jan-87,307823,
9-Jan-87,316926,
16-Jan-87,307260,
23-Jan-87,304234,
30-Jan-87,309455,
6-Feb-87,308479,
13-Feb-87,307917,
20-Feb-87,308205,
27-Feb-87,311491,
6-Mar-87,310363,
13-Mar-87,305895,
20-Mar-87,313392,
27-Mar-87,308038,
3-Apr-87,314031,
10-Apr-87,308491,
17-Apr-87,299466,
24-Apr-87,298167,
1-May-87,307567,
8-May-87,302611,
15-May-87,300278,
22-May-87,303381,
29-May-87,299567,
5-Jun-87,300954,
12-Jun-87,301345,
19-Jun-87,301883,
26-Jun-87,304454,
3-Jul-87,304943,
10-Jul-87,302862,
17-Jul-87,298706,
24-Jul-87,301702,
31-Jul-87,307077,
7-Aug-87,300958,
14-Aug-87,302412,
21-Aug-87,309220,
28-Aug-87,309451,
4-Sep-87,313494,
11-Sep-87,312686,
18-Sep-87,312588,
25-Sep-87,316043,
2-Oct-87,314186,
9-Oct-87,310961,
16-Oct-87,313755,
23-Oct-87,316857,
30-Oct-87,328896,
6-Nov-87,333255,
13-Nov-87,335157,
20-Nov-87,338198,
27-Nov-87,335814,
4-Dec-87,337304,
11-Dec-87,338654,
18-Dec-87,340670,
25-Dec-87,339178,
1-Jan-88,333655,
8-Jan-88,320851,
15-Jan-88,320568,
22-Jan-88,319760,
29-Jan-88,316008,
5-Feb-88,317127,
12-Feb-88,312386,
19-Feb-88,320876,
26-Feb-88,324061,
4-Mar-88,325274,
11-Mar-88,325188,
18-Mar-88,328937,
25-Mar-88,327289,
1-Apr-88,328537,
8-Apr-88,333705,
15-Apr-88,333296,
22-Apr-88,338077,
29-Apr-88,335042,
6-May-88,340335,
13-May-88,343544,
20-May-88,345463,
27-May-88,341208,
3-Jun-88,343019,
10-Jun-88,340370,
17-Jun-88,344567,
24-Jun-88,341838,
1-Jul-88,342310,
8-Jul-88,339783,
15-Jul-88,334259,
22-Jul-88,330751,
29-Jul-88,332365,
5-Aug-88,330335,
12-Aug-88,327971,
19-Aug-88,323205,
26-Aug-88,318511,
2-Sep-88,313544,
9-Sep-88,311683,
16-Sep-88,305143,
23-Sep-88,300430,
30-Sep-88,306036,
7-Oct-88,305450,
14-Oct-88,310447,
21-Oct-88,315085,
28-Oct-88,316401,
4-Nov-88,322097,
11-Nov-88,318675,
18-Nov-88,326823,
25-Nov-88,322409,
2-Dec-88,319749,
9-Dec-88,324248,
16-Dec-88,318990,
23-Dec-88,314765,
30-Dec-88,313654,
6-Jan-89,305576,
13-Jan-89,302665,
20-Jan-89,306513,
27-Jan-89,307008,
3-Feb-89,313945,
10-Feb-89,305217,
17-Feb-89,306065,
24-Feb-89,305255,
3-Mar-89,315037,
10-Mar-89,313828,
17-Mar-89,318360,
24-Mar-89,317835,
31-Mar-89,307789,
7-Apr-89,306513,
14-Apr-89,302086,
21-Apr-89,312478,
28-Apr-89,316567,
5-May-89,327039,
12-May-89,328885,
19-May-89,322400,
26-May-89,320489,
2-Jun-89,324887,
9-Jun-89,321641,
16-Jun-89,319223,
23-Jun-89,322738,
30-Jun-89,315455,
7-Jul-89,315749,
14-Jul-89,313424,
21-Jul-89,312422,
28-Jul-89,313680,
4-Aug-89,313202,
11-Aug-89,310165,
18-Aug-89,319131,
25-Aug-89,318038,
1-Sep-89,317963,
8-Sep-89,320241,
15-Sep-89,309387,
22-Sep-89,310542,
29-Sep-89,313121,
